service,start_time,end_time,duration_sec
auth-service,2025-01-05 10:00:08,2025-01-05 10:00:16,8.0
auth-service,2025-01-05 10:00:44,2025-01-05 10:00:57,13.0
auth-service,2025-01-05 10:00:07,2025-01-05 10:01:01,54.0
auth-service,2025-01-05 10:01:24,2025-01-05 10:01:45,21.0
auth-service,2025-01-05 10:01:58,2025-01-05 10:02:03,5.0
auth-service,2025-01-05 10:02:12,2025-01-05 10:02:30,18.0
auth-service,2025-01-05 10:02:42,2025-01-05 10:02:45,3.0
auth-service,2025-01-05 10:02:37,2025-01-05 10:03:13,36.0
auth-service,2025-01-05 10:02:08,2025-01-05 10:03:19,71.0
auth-service,2025-01-05 10:03:59,2025-01-05 10:04:04,5.0
auth-service,2025-01-05 10:03:56,2025-01-05 10:04:06,10.0
auth-service,2025-01-05 10:04:09,2025-01-05 10:04:13,4.0
auth-service,2025-01-05 10:04:36,2025-01-05 10:04:40,4.0
auth-service,2025-01-05 10:04:49,2025-01-05 10:05:01,12.0
auth-service,2025-01-05 10:05:57,2025-01-05 10:06:02,5.0
auth-service,2025-01-05 10:06:07,2025-01-05 10:06:40,33.0
auth-service,2025-01-05 10:06:48,2025-01-05 10:07:05,17.0
auth-service,2025-01-05 10:07:09,2025-01-05 10:07:23,14.0
auth-service,2025-01-05 10:08:02,2025-01-05 10:08:06,4.0
auth-service,2025-01-05 10:09:15,2025-01-05 10:09:27,12.0
auth-service,2025-01-05 10:10:01,2025-01-05 10:10:06,5.0
auth-service,2025-01-05 10:10:43,2025-01-05 10:10:51,8.0
auth-service,2025-01-05 10:10:13,2025-01-05 10:11:00,47.0
auth-service,2025-01-05 10:11:42,2025-01-05 10:11:52,10.0
auth-service,2025-01-05 10:11:13,2025-01-05 10:12:09,56.0
auth-service,2025-01-05 10:11:04,2025-01-05 10:12:29,85.0
auth-service,2025-01-05 10:09:33,2025-01-05 10:12:30,177.0
auth-service,2025-01-05 10:12:55,2025-01-05 10:13:16,21.0
auth-service,2025-01-05 10:08:47,2025-01-05 10:13:55,308.0
auth-service,2025-01-05 10:14:31,2025-01-05 10:14:38,7.0
auth-service,2025-01-05 10:14:48,2025-01-05 10:14:50,2.0
auth-service,2025-01-05 10:14:45,2025-01-05 10:15:00,15.0
auth-service,2025-01-05 10:14:24,2025-01-05 10:15:05,41.0
auth-service,2025-01-05 10:15:33,2025-01-05 10:15:38,5.0
auth-service,2025-01-05 10:16:02,2025-01-05 10:16:09,7.0
auth-service,2025-01-05 10:16:47,2025-01-05 10:16:50,3.0
auth-service,2025-01-05 10:17:26,2025-01-05 10:17:46,20.0
auth-service,2025-01-05 10:17:10,2025-01-05 10:17:55,45.0
auth-service,2025-01-05 10:18:05,2025-01-05 10:18:12,7.0
auth-service,2025-01-05 10:17:00,2025-01-05 10:18:22,82.0
auth-service,2025-01-05 10:18:27,2025-01-05 10:18:37,10.0
auth-service,2025-01-05 10:18:24,2025-01-05 10:18:39,15.0
auth-service,2025-01-05 10:16:28,2025-01-05 10:18:51,143.0
auth-service,2025-01-05 10:19:38,2025-01-05 10:19:47,9.0
